0,1,2,c3
PG,1.144113,25.0,0.3028764041964612
AJG,0.064444,25.0,0.017059999311288963
NEM,0.130045,25.0,0.03442628655012993
IR,0.11638299999999999,25.0,0.030809600581058645
CHD,0.063701,25.0,0.01686330792825427
NTRS,0.08419600000000001,25.0,0.022288866333767077
MO,0.34634899999999996,25.0,0.0916875690749429
TMUS,0.093205,25.0,0.024673782443806833
REGN,0.111949,25.0,0.029635805705721063
MGM,0.064426,25.0,0.017055234244136033
CMG,0.080562,25.0,0.021326852220781782
KEY,0.070668,25.0,0.0187076536423898
WHR,0.03511,25.0,0.009294528207736259
IFF,0.051646000000000004,25.0,0.013672036565558156
MCD,0.578012,25.0,0.15301477751096698
AOS,0.023925,25.0,0.006333568424098261
MDLZ,0.288686,26.0,0.07947958350856427
AVGO,0.443321,26.0,0.12205291715081516
CTL,0.047311,26.0,0.013025427541944135
HP,0.018084,26.0,0.004978796298292527
ADI,0.159958,26.0,0.044038835339652506
EXC,0.164822,26.0,0.045377967456158526
CHRW,0.041664,26.0,0.011470723787439716
K,0.063951,26.0,0.017606668993148937
KO,0.797555,26.0,0.21957884769324795
NFLX,0.540227,26.0,0.14873259167427985
COF,0.175452,26.0,0.048304565811104865
AIZ,0.029334,26.0,0.008076089947694811
MDT,0.579955,26.0,0.1596703056390313
IVZ,0.025516999999999998,26.0,0.007025212626826497
CTAS,0.086418,26.0,0.023792170897248593
LYB,0.08581,26.0,0.02362477938268534
HSY,0.080609,26.0,0.022192866114192782
DAL,0.130092,26.0,0.035816277816714856
FBHS,0.035332,26.0,0.009727429264060582
FRC,0.072779,26.0,0.02003714973420879
OKE,0.114754,27.0,0.032808630964016296
EL,0.176562,27.0,0.050479787199301504
GL,0.038081,27.0,0.010887511335035854
SIVB,0.047383999999999996,27.0,0.013547276518456419
SCHW,0.203924,27.0,0.058302693245604144
RMD,0.08325,27.0,0.02380151042886833
IP,0.064723,27.0,0.018504566480332073
VAR,0.049122000000000006,27.0,0.014044177721163606
RE,0.040559,27.0,0.01159598151933298
ALXN,0.09129,27.0,0.026100178823440116
PBCT,0.026868,27.0,0.007681669455889901
USB,0.285535,27.0,0.08163560697065367
CMA,0.036976,27.0,0.010571587382796822
FITB,0.075923,27.0,0.021706691607098743
WYNN,0.053232,28.0,0.015782918958152165
ZTS,0.240842,28.0,0.07140798331303133
INCY,0.051782,28.0,0.015353004010577011
PNW,0.038021,28.0,0.011272962911555145
BMY,0.569854,28.0,0.168957760369305
EMN,0.03822,28.0,0.011331965031946493
HRL,0.045419,28.0,0.013466418623390314
MRK,0.845038,28.0,0.25054790859931975
NCLH,0.045928,28.0,0.013617333594642556
EFX,0.065983,28.0,0.01956350205920789
BAC,1.023169,28.0,0.30336251516932655
ETFC,0.038308999999999996,28.0,0.011358352914935588
CFG,0.062653,28.0,0.018576180145121496
MTB,0.079575,28.0,0.023593435829857203
AWK,0.084096,29.0,0.025824376736628726
PM,0.501566,29.0,0.15402194328248578
WMT,0.598014,29.0,0.18363939818514902
IT,0.05196,29.0,0.015955986197146457
AME,0.082449,29.0,0.025318612509017097
WRB,0.036682,29.0,0.011264385790679877
SRE,0.159252,29.0,0.04890343945088468
AMP,0.07929,29.0,0.024348540138024302
CNC,0.097256,29.0,0.02986557724383518
TFX,0.064454,29.0,0.019792670022149305
CAG,0.05683099999999999,29.0,0.017451783132602584
BAX,0.166956,29.0,0.05126919999096967
UAL,0.07182000000000001,29.0,0.022054636810605443
